How	ADV	O
Climate	PROPN	B	Climate_change
Change	NOUN	I	Climate_change
Actually	ADV	O
Works	PROPN	O
...	PUNCT	O
in	ADP	O
4	NUM	B	4
Minutes	NOUN	B	Minute

Good	ADJ	B	Good_morning
Morning	PROPN	I	Good_morning
John	PROPN	O
.	PUNCT	O

So	ADV	O
probably	ADV	B	Probability
you	PRON	O
have	AUX	O
heard	VERB	B	Hearing
that	SCONJ	O
for	ADP	O
a	DET	O
long	ADJ	O
time	NOUN	O
the	DET	O
amount	NOUN	B	Amount_of_substance
of	ADP	O
energy	NOUN	B	Energy
entering	VERB	O
the	DET	O
earth	NOUN	B	Atmosphere_of_Earth
's	PART	I	Atmosphere_of_Earth
atmosphere	NOUN	I	Atmosphere_of_Earth
and	CCONJ	O
the	DET	O
amount	NOUN	B	Amount_of_substance
leaving	VERB	O
the	DET	O
earth	NOUN	B	Atmosphere_of_Earth
's	PART	I	Atmosphere_of_Earth
atmosphere	NOUN	I	Atmosphere_of_Earth
was	AUX	O
about	ADV	O
the	DET	O
same	ADJ	O
.	PUNCT	O

And	CCONJ	B	Logical_conjunction
that	PRON	O
was	AUX	O
good	ADJ	B	Good
because	SCONJ	O
if	SCONJ	B	If_and_only_if
those	DET	O
two	NUM	O
numbers	NOUN	B	Number
are	AUX	O
not	PART	O
equal	ADJ	B	Equality_(mathematics)
then	ADV	O
we	PRON	O
are	AUX	O
either	CCONJ	O
getting	VERB	O
colder	ADJ	O
every	DET	O
year	NOUN	B	Year
or	CCONJ	O
we	PRON	O
're	AUX	O
getting	VERB	O
hotter	ADJ	B	Heat
every	DET	O
year	NOUN	B	Year
.	PUNCT	O

But	CCONJ	O
now	ADV	B	Present
it	PRON	O
looks	VERB	O
like	SCONJ	O
there	PRON	O
is	VERB	O
in	ADP	O
fact	NOUN	B	Fact
more	ADJ	O
energy	NOUN	B	Energy
coming	VERB	O
in	ADP	O
than	ADP	O
going	VERB	O
out	ADP	O
and	CCONJ	O
that	PRON	O
results	VERB	B	Result
in	ADP	O
basically	ADV	O
three	NUM	O
things	NOUN	B	Object_(philosophy)
.	PUNCT	O

First	ADV	O
,	PUNCT	O
more	ADJ	O
heat	NOUN	B	Heat
.	PUNCT	O

Which	PRON	B	Which
is	AUX	O
what	PRON	B	Interrogative_word
we	PRON	O
call	VERB	O
like	ADP	O
individual	ADJ	B	Single-molecule_experiment
molecules	NOUN	I	Single-molecule_experiment
moving	VERB	I	Single-molecule_experiment
faster	ADJ	B	Acceleration
.	PUNCT	O

Which	PRON	B	Which
is	AUX	O
wild	ADJ	B	Wildlife
.	PUNCT	O

Like	INTJ	O
,	PUNCT	O
when	ADV	O
you	PRON	O
are	AUX	O
hot	ADJ	B	Heat
it	PRON	O
is	AUX	O
because	SCONJ	O
the	DET	O
molecules	NOUN	B	Molecule
that	PRON	O
make	VERB	O
up	ADP	O
your	PRON	O
body	NOUN	B	Human_body
are	AUX	O
jiggling	VERB	O
more	ADJ	O
.	PUNCT	O

Does	AUX	O
n't	PART	O
seem	VERB	O
real	ADJ	B	Reality
,	PUNCT	O
but	CCONJ	O
it	PRON	O
is	AUX	O
.	PUNCT	O

Second	ADV	O
you	PRON	O
have	VERB	O
more	ADJ	O
severe	ADJ	B	Weather
weather	NOUN	I	Weather
,	PUNCT	O
which	PRON	O
is	AUX	O
when	ADV	O
a	DET	O
lot	NOUN	O
of	ADP	O
molecules	NOUN	B	Molecule
